               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  86,            0.020047,            0.012476,           0.0015714,             0.50522,             0.54658,             0.51808,             0.35318,            0.031857,            0.014102,           0.0011867,            0.001585,            0.001585,            0.001585
                  87,            0.020665,            0.012238,           0.0011288,             0.62398,             0.51362,             0.58535,             0.40258,             0.03151,            0.013988,          0.00097519,            0.001486,            0.001486,            0.001486
                  88,            0.018781,            0.012207,           0.0014423,             0.74459,             0.45348,             0.57834,             0.39021,            0.031515,            0.014341,          0.00090191,            0.001387,            0.001387,            0.001387
                  89,            0.020461,            0.011728,           0.0015977,              0.8555,             0.44876,             0.59925,             0.39924,             0.03163,            0.014609,          0.00098294,            0.001288,            0.001288,            0.001288
                  90,             0.01799,             0.01134,           0.0014753,             0.47308,             0.63979,             0.55885,             0.39197,            0.031382,            0.014683,           0.0010476,            0.001189,            0.001189,            0.001189
                  91,            0.019838,            0.011969,           0.0016148,             0.48972,             0.66561,             0.49812,             0.33885,             0.03147,            0.014016,           0.0010879,             0.00109,             0.00109,             0.00109
                  92,             0.01893,            0.011964,           0.0010719,             0.44552,             0.71491,             0.51421,              0.3386,            0.032173,            0.013898,           0.0010329,            0.000991,            0.000991,            0.000991
                  93,            0.018753,            0.011211,            0.002263,             0.48653,             0.68443,              0.5296,             0.35285,            0.032789,            0.013928,           0.0011567,            0.000892,            0.000892,            0.000892
                  94,            0.017799,            0.011754,           0.0010222,             0.46333,             0.66129,             0.52976,             0.36351,            0.033371,            0.014068,           0.0010935,            0.000793,            0.000793,            0.000793
                  95,            0.018622,            0.011802,           0.0030527,             0.54479,             0.53571,             0.51561,             0.35739,            0.033912,            0.014307,            0.001088,            0.000694,            0.000694,            0.000694
                  96,             0.01768,            0.011549,           0.0010742,             0.54782,             0.54656,              0.5264,             0.36252,            0.033701,            0.014208,            0.001134,            0.000595,            0.000595,            0.000595
                  97,            0.018345,            0.011408,          0.00090401,               0.534,              0.5557,             0.52187,             0.36999,            0.033211,            0.014304,           0.0011334,            0.000496,            0.000496,            0.000496
                  98,             0.01869,            0.012018,           0.0010274,             0.49125,             0.65041,             0.54343,             0.36974,            0.032922,            0.014377,           0.0011476,            0.000397,            0.000397,            0.000397
                  99,            0.019501,            0.011245,           0.0010586,             0.64766,             0.51119,             0.54502,             0.37135,             0.03298,             0.01437,           0.0011514,            0.000298,            0.000298,            0.000298
